start_time;duracion;end_time;game_id;teams;yards;qtr;date;time
1739497452.0375;0.1039s;1739497452.1414;2012090500;NYG@DAL;1;1;2012-09-05;13:58
1739497452.0375;0.1039s;1739497452.1414;2012090500;NYG@DAL;1;2;2012-09-05;03:42
1739497452.0375;0.1039s;1739497452.1414;2012090500;NYG@DAL;1;4;2012-09-05;13:17
1739497452.0375;0.1039s;1739497452.1414;2012090912;DEN@PIT;1;1;2012-09-09;00:05
1739497452.0375;0.1039s;1739497452.1414;2012090904;TEN@NE;1;1;2012-09-09;04:18
1739497452.0375;0.1039s;1739497452.1414;2012090912;PIT@DEN;1;1;2012-09-09;08:29
1739497452.0375;0.1039s;1739497452.1414;2012090912;DEN@PIT;1;1;2012-09-09;11:00
1739497452.0375;0.1039s;1739497452.1414;2012090901;MIN@JAC;1;1;2012-09-09;12:24
1739497452.0375;0.1039s;1739497452.1414;2012090911;CAR@TB;1;1;2012-09-09;12:51
1739497452.0375;0.1039s;1739497452.1414;2012090906;NO@WAS;1;1;2012-09-09;14:47
1739497452.0375;0.1039s;1739497452.1414;2012090909;GB@SF;1;2;2012-09-09;00:32
1739497452.0375;0.1039s;1739497452.1414;2012090904;TEN@NE;1;2;2012-09-09;00:44
1739497452.0375;0.1039s;1739497452.1414;2012090910;ARI@SEA;1;2;2012-09-09;00:55
1739497452.0375;0.1039s;1739497452.1414;2012090907;PHI@CLE;1;2;2012-09-09;01:35
1739497452.0375;0.1039s;1739497452.1414;2012090910;SEA@ARI;1;2;2012-09-09;01:47
1739497452.0375;0.1039s;1739497452.1414;2012090901;JAC@MIN;1;2;2012-09-09;02:40
1739497452.0375;0.1039s;1739497452.1414;2012090901;MIN@JAC;1;2;2012-09-09;03:06
1739497452.0375;0.1039s;1739497452.1414;2012090907;PHI@CLE;1;2;2012-09-09;05:01
1739497452.0375;0.1039s;1739497452.1414;2012090907;PHI@CLE;1;2;2012-09-09;07:33
1739497452.0375;0.1039s;1739497452.1414;2012090906;NO@WAS;1;2;2012-09-09;09:25
1739497452.0375;0.1039s;1739497452.1414;2012090907;PHI@CLE;1;2;2012-09-09;11:12
1739497452.0375;0.1039s;1739497452.1414;2012090910;SEA@ARI;1;2;2012-09-09;11:32
1739497452.0375;0.1039s;1739497452.1414;2012090910;SEA@ARI;1;3;2012-09-09;02:01
1739497452.0375;0.1039s;1739497452.1414;2012090900;CHI@IND;1;3;2012-09-09;02:46
1739497452.0375;0.1039s;1739497452.1414;2012090907;PHI@CLE;1;3;2012-09-09;03:33
1739497452.0375;0.1039s;1739497452.1414;2012090904;TEN@NE;1;3;2012-09-09;03:41
1739497452.0375;0.1039s;1739497452.1414;2012090905;STL@DET;1;3;2012-09-09;03:43
1739497452.0375;0.1039s;1739497452.1414;2012090910;ARI@SEA;1;3;2012-09-09;03:45
1739497452.0375;0.1039s;1739497452.1414;2012090911;TB@CAR;1;3;2012-09-09;06:18
1739497452.0375;0.1039s;1739497452.1414;2012090905;STL@DET;1;3;2012-09-09;07:43
1739497452.0375;0.1039s;1739497452.1414;2012090907;PHI@CLE;1;3;2012-09-09;11:05
