start_time;duracion;end_time;game_id;teams;yards;qtr;date;time
1739497449.3518;0.0030s;1739497449.3548;2009091000;TEN@PIT;1;1;2009-09-10;11:34
1739497449.3518;0.0030s;1739497449.3548;2009091000;PIT@TEN;1;2;2009-09-10;07:25
1739497449.3518;0.0030s;1739497449.3548;2009091000;PIT@TEN;1;3;2009-09-10;05:18
1739497449.3518;0.0030s;1739497449.3548;2009091000;PIT@TEN;1;4;2009-09-10;15:00
1739497449.3518;0.0030s;1739497449.3548;2009091303;DEN@CIN;1;1;2009-09-13;00:17
1739497449.3518;0.0030s;1739497449.3548;2009091312;CHI@GB;1;1;2009-09-13;01:10
1739497449.3518;0.0030s;1739497449.3548;2009091307;DET@NO;1;1;2009-09-13;03:01
1739497449.3518;0.0030s;1739497449.3548;2009091307;NO@DET;1;1;2009-09-13;03:49
1739497449.3518;0.0030s;1739497449.3548;2009091303;DEN@CIN;1;1;2009-09-13;07:23
1739497449.3518;0.0030s;1739497449.3548;2009091312;GB@CHI;1;1;2009-09-13;07:26
1739497449.3518;0.0030s;1739497449.3548;2009091311;STL@SEA;1;1;2009-09-13;08:19
1739497449.3518;0.0030s;1739497449.3548;2009091301;KC@BAL;1;1;2009-09-13;09:00
1739497449.3518;0.0030s;1739497449.3548;2009091309;SF@ARI;1;1;2009-09-13;10:37
1739497449.3518;0.0030s;1739497449.3548;2009091312;CHI@GB;1;1;2009-09-13;10:54
1739497449.3518;0.0030s;1739497449.3548;2009091311;SEA@STL;1;1;2009-09-13;11:43
1739497449.3518;0.0030s;1739497449.3548;2009091305;HOU@NYJ;1;1;2009-09-13;11:58
1739497449.3518;0.0030s;1739497449.3548;2009091309;ARI@SF;1;1;2009-09-13;12:47
1739497449.3518;0.0030s;1739497449.3548;2009091311;STL@SEA;1;1;2009-09-13;12:56
1739497449.3518;0.0030s;1739497449.3548;2009091305;HOU@NYJ;0;2;2009-09-13;13:34
1739497449.3518;0.0030s;1739497449.3548;2009091308;DAL@TB;1;2;2009-09-13;02:15
1739497449.3518;0.0030s;1739497449.3548;2009091300;ATL@MIA;1;2;2009-09-13;04:07
1739497449.3518;0.0030s;1739497449.3548;2009091303;DEN@CIN;1;2;2009-09-13;05:19
1739497449.3518;0.0030s;1739497449.3548;2009091309;ARI@SF;1;2;2009-09-13;05:36
1739497449.3518;0.0030s;1739497449.3548;2009091302;CAR@PHI;1;2;2009-09-13;07:56
1739497449.3518;0.0030s;1739497449.3548;2009091303;DEN@CIN;1;2;2009-09-13;12:10
1739497449.3518;0.0030s;1739497449.3548;2009091304;CLE@MIN;1;2;2009-09-13;13:11
1739497449.3518;0.0030s;1739497449.3548;2009091303;CIN@DEN;1;3;2009-09-13;02:41
1739497449.3518;0.0030s;1739497449.3548;2009091311;STL@SEA;1;3;2009-09-13;04:04
1739497449.3518;0.0030s;1739497449.3548;2009091303;DEN@CIN;1;3;2009-09-13;04:23
1739497449.3518;0.0030s;1739497449.3548;2009091302;PHI@CAR;1;3;2009-09-13;04:38
1739497449.3518;0.0030s;1739497449.3548;2009091306;JAC@IND;1;3;2009-09-13;05:39
1739497449.3518;0.0030s;1739497449.3548;2009091308;TB@DAL;1;3;2009-09-13;06:11
1739497449.3518;0.0030s;1739497449.3548;2009091308;DAL@TB;1;3;2009-09-13;07:46
1739497449.3518;0.0030s;1739497449.3548;2009091312;GB@CHI;1;3;2009-09-13;08:51
1739497449.3518;0.0030s;1739497449.3548;2009091300;MIA@ATL;1;3;2009-09-13;10:07
1739497449.3518;0.0030s;1739497449.3548;2009091300;ATL@MIA;1;3;2009-09-13;12:00
1739497449.3518;0.0030s;1739497449.3548;2009091303;CIN@DEN;1;3;2009-09-13;12:48
1739497449.3518;0.0030s;1739497449.3548;2009091309;SF@ARI;1;3;2009-09-13;13:39
1739497449.3518;0.0030s;1739497449.3548;2009091309;SF@ARI;1;4;2009-09-13;00:56
1739497449.3518;0.0030s;1739497449.3548;2009091306;JAC@IND;1;4;2009-09-13;05:25
1739497449.3518;0.0030s;1739497449.3548;2009091304;CLE@MIN;1;4;2009-09-13;06:21
1739497449.3518;0.0030s;1739497449.3548;2009091300;MIA@ATL;1;4;2009-09-13;11:41
1739497449.3518;0.0030s;1739497449.3548;2009091304;MIN@CLE;1;4;2009-09-13;11:55
1739497449.3518;0.0030s;1739497449.3548;2009091302;PHI@CAR;1;4;2009-09-13;12:12
1739497449.3518;0.0030s;1739497449.3548;2009091401;SD@OAK;1;2;2009-09-14;02:34
1739497449.3518;0.0030s;1739497449.3548;2009091400;BUF@NE;1;2;2009-09-14;03:48
1739497449.3518;0.0030s;1739497449.3548;2009091401;OAK@SD;1;2;2009-09-14;03:50
1739497449.3518;0.0030s;1739497449.3548;2009091401;OAK@SD;1;3;2009-09-14;09:22
1739497449.3518;0.0030s;1739497449.3548;2009092010;SEA@SF;1;1;2009-09-20;03:00
1739497449.3518;0.0030s;1739497449.3548;2009092005;NYJ@NE;1;1;2009-09-20;05:21
1739497449.3518;0.0030s;1739497449.3548;2009092012;DEN@CLE;1;1;2009-09-20;10:20
1739497449.3518;0.0030s;1739497449.3548;2009092004;OAK@KC;1;1;2009-09-20;11:39
1739497449.3518;0.0030s;1739497449.3548;2009092010;SEA@SF;1;1;2009-09-20;13:59
1739497449.3518;0.0030s;1739497449.3548;2009092004;OAK@KC;1;1;2009-09-20;14:20
1739497449.3518;0.0030s;1739497449.3548;2009092006;PHI@NO;1;2;2009-09-20;01:31
1739497449.3518;0.0030s;1739497449.3548;2009092014;NYG@DAL;1;2;2009-09-20;01:57
1739497449.3518;0.0030s;1739497449.3548;2009092004;OAK@KC;1;2;2009-09-20;02:39
1739497449.3518;0.0030s;1739497449.3548;2009092014;DAL@NYG;1;2;2009-09-20;03:46
1739497449.3518;0.0030s;1739497449.3548;2009092012;DEN@CLE;1;2;2009-09-20;06:30
1739497449.3518;0.0030s;1739497449.3548;2009092002;GB@CIN;1;2;2009-09-20;08:42
1739497449.3518;0.0030s;1739497449.3548;2009092011;CHI@PIT;1;2;2009-09-20;09:50
1739497449.3518;0.0030s;1739497449.3548;2009092001;MIN@DET;1;2;2009-09-20;10:08
1739497449.3518;0.0030s;1739497449.3548;2009092004;KC@OAK;1;2;2009-09-20;11:46
1739497449.3518;0.0030s;1739497449.3548;2009092008;STL@WAS;1;2;2009-09-20;14:05
1739497449.3518;0.0030s;1739497449.3548;2009092007;HOU@TEN;1;2;2009-09-20;14:55
1739497449.3518;0.0030s;1739497449.3548;2009092010;SF@SEA;1;2;2009-09-20;15:00
1739497449.3518;0.0030s;1739497449.3548;2009092012;CLE@DEN;1;3;2009-09-20;01:11
1739497449.3518;0.0030s;1739497449.3548;2009092011;CHI@PIT;1;3;2009-09-20;02:24
1739497449.3518;0.0030s;1739497449.3548;2009092010;SF@SEA;1;3;2009-09-20;02:42
1739497449.3518;0.0030s;1739497449.3548;2009092004;OAK@KC;1;3;2009-09-20;04:21
1739497449.3518;0.0030s;1739497449.3548;2009092001;DET@MIN;1;3;2009-09-20;05:07
1739497449.3518;0.0030s;1739497449.3548;2009092011;CHI@PIT;1;3;2009-09-20;07:10
1739497449.3518;0.0030s;1739497449.3548;2009092009;BUF@TB;1;3;2009-09-20;07:20
1739497449.3518;0.0030s;1739497449.3548;2009092007;TEN@HOU;1;3;2009-09-20;07:22
