start_time;duracion;end_time;game_id;teams;yards;qtr;date;time
1739497450.3936;0.0024s;1739497450.3961;2015091000;NE@PIT;1;3;2015-09-10;04:27
1739497450.3936;0.0024s;1739497450.3961;2015091309;BAL@DEN;1;1;2015-09-13;00:05
1739497450.3936;0.0024s;1739497450.3961;2015091309;BAL@DEN;1;1;2015-09-13;03:50
1739497450.3936;0.0024s;1739497450.3961;2015091303;MIA@WAS;1;1;2015-09-13;06:02
1739497450.3936;0.0024s;1739497450.3961;2015091302;JAC@CAR;1;1;2015-09-13;06:45
1739497450.3936;0.0024s;1739497450.3961;2015091304;IND@BUF;1;1;2015-09-13;07:22
1739497450.3936;0.0024s;1739497450.3961;2015091308;SD@DET;1;1;2015-09-13;08:42
1739497450.3936;0.0024s;1739497450.3961;2015091310;OAK@CIN;1;1;2015-09-13;13:43
1739497450.3936;0.0024s;1739497450.3961;2015091310;OAK@CIN;1;2;2015-09-13;01:15
1739497450.3936;0.0024s;1739497450.3961;2015091307;NO@ARI;1;2;2015-09-13;01:19
1739497450.3936;0.0024s;1739497450.3961;2015091306;HOU@KC;1;2;2015-09-13;04:10
1739497450.3936;0.0024s;1739497450.3961;2015091305;NYJ@CLE;1;2;2015-09-13;06:05
1739497450.3936;0.0024s;1739497450.3961;2015091305;CLE@NYJ;1;2;2015-09-13;07:30
1739497450.3936;0.0024s;1739497450.3961;2015091306;HOU@KC;1;2;2015-09-13;09:07
1739497450.3936;0.0024s;1739497450.3961;2015091312;NYG@DAL;1;2;2015-09-13;11:03
1739497450.3936;0.0024s;1739497450.3961;2015091308;SD@DET;1;2;2015-09-13;11:08
1739497450.3936;0.0024s;1739497450.3961;2015091302;JAC@CAR;1;3;2015-09-13;01:14
1739497450.3936;0.0024s;1739497450.3961;2015091301;STL@SEA;1;3;2015-09-13;01:22
1739497450.3936;0.0024s;1739497450.3961;2015091302;CAR@JAC;1;3;2015-09-13;02:54
1739497450.3936;0.0024s;1739497450.3961;2015091309;DEN@BAL;1;3;2015-09-13;02:55
1739497450.3936;0.0024s;1739497450.3961;2015091306;KC@HOU;1;3;2015-09-13;03:21
1739497450.3936;0.0024s;1739497450.3961;2015091305;CLE@NYJ;1;3;2015-09-13;06:42
1739497450.3936;0.0024s;1739497450.3961;2015091310;CIN@OAK;1;3;2015-09-13;10:06
1739497450.3936;0.0024s;1739497450.3961;2015091307;ARI@NO;1;3;2015-09-13;10:33
1739497450.3936;0.0024s;1739497450.3961;2015091303;WAS@MIA;1;3;2015-09-13;10:48
1739497450.3936;0.0024s;1739497450.3961;2015091306;HOU@KC;1;3;2015-09-13;11:01
1739497450.3936;0.0024s;1739497450.3961;2015091311;TB@TEN;1;3;2015-09-13;12:35
1739497450.3936;0.0024s;1739497450.3961;2015091309;DEN@BAL;1;3;2015-09-13;12:37
1739497450.3936;0.0024s;1739497450.3961;2015091307;NO@ARI;1;4;2015-09-13;01:58
1739497450.3936;0.0024s;1739497450.3961;2015091306;KC@HOU;1;4;2015-09-13;02:55
1739497450.3936;0.0024s;1739497450.3961;2015091310;CIN@OAK;1;4;2015-09-13;05:29
1739497450.3936;0.0024s;1739497450.3961;2015091300;GB@CHI;1;4;2015-09-13;06:15
1739497450.3936;0.0024s;1739497450.3961;2015091311;TEN@TB;1;4;2015-09-13;07:14
1739497450.3936;0.0024s;1739497450.3961;2015091306;HOU@KC;1;4;2015-09-13;08:30
1739497450.3936;0.0024s;1739497450.3961;2015091310;CIN@OAK;1;4;2015-09-13;12:47
1739497450.3936;0.0024s;1739497450.3961;2015091312;DAL@NYG;1;4;2015-09-13;14:13
1739497450.3936;0.0024s;1739497450.3961;2015091311;TB@TEN;1;4;2015-09-13;15:00
1739497450.3936;0.0024s;1739497450.3961;2015091400;ATL@PHI;1;1;2015-09-14;03:58
1739497450.3936;0.0024s;1739497450.3961;2015091400;PHI@ATL;1;1;2015-09-14;14:10
1739497450.3936;0.0024s;1739497450.3961;2015091401;SF@MIN;1;2;2015-09-14;08:57
1739497450.3936;0.0024s;1739497450.3961;2015091401;SF@MIN;1;2;2015-09-14;14:56
1739497450.3936;0.0024s;1739497450.3961;2015091400;ATL@PHI;1;4;2015-09-14;02:00
1739497450.3936;0.0024s;1739497450.3961;2015091700;DEN@KC;1;1;2015-09-17;12:29
1739497450.3936;0.0024s;1739497450.3961;2015092011;MIA@JAC;1;1;2015-09-20;01:54
1739497450.3936;0.0024s;1739497450.3961;2015092008;NO@TB;1;1;2015-09-20;04:05
1739497450.3936;0.0024s;1739497450.3961;2015092001;BUF@NE;1;1;2015-09-20;06:42
1739497450.3936;0.0024s;1739497450.3961;2015092007;DET@MIN;1;1;2015-09-20;07:35
1739497450.3936;0.0024s;1739497450.3961;2015092005;STL@WAS;1;1;2015-09-20;12:26
1739497450.3936;0.0024s;1739497450.3961;2015092012;DAL@PHI;1;1;2015-09-20;12:41
1739497450.3936;0.0024s;1739497450.3961;2015092003;TEN@CLE;1;1;2015-09-20;13:42
1739497450.3936;0.0024s;1739497450.3961;2015092000;CAR@HOU;1;1;2015-09-20;14:48
1739497450.3936;0.0024s;1739497450.3961;2015092000;CAR@HOU;1;2;2015-09-20;01:25
1739497450.3936;0.0024s;1739497450.3961;2015092011;JAC@MIA;1;2;2015-09-20;01:28
1739497450.3936;0.0024s;1739497450.3961;2015092005;STL@WAS;1;2;2015-09-20;01:54
1739497450.3936;0.0024s;1739497450.3961;2015092002;SD@CIN;1;2;2015-09-20;01:58
1739497450.3936;0.0024s;1739497450.3961;2015092000;HOU@CAR;1;2;2015-09-20;04:44
1739497450.3936;0.0024s;1739497450.3961;2015092009;SF@PIT;1;2;2015-09-20;06:05
1739497450.3936;0.0024s;1739497450.3961;2015092008;NO@TB;1;2;2015-09-20;08:17
1739497450.3936;0.0024s;1739497450.3961;2015092000;HOU@CAR;1;2;2015-09-20;10:18
1739497450.3936;0.0024s;1739497450.3961;2015092005;STL@WAS;1;2;2015-09-20;10:57
1739497450.3936;0.0024s;1739497450.3961;2015092003;TEN@CLE;1;2;2015-09-20;11:50
1739497450.3936;0.0024s;1739497450.3961;2015092008;NO@TB;1;2;2015-09-20;12:29
1739497450.3936;0.0024s;1739497450.3961;2015092000;HOU@CAR;1;2;2015-09-20;13:36
1739497450.3936;0.0024s;1739497450.3961;2015092005;STL@WAS;1;2;2015-09-20;13:57
1739497450.3936;0.0024s;1739497450.3961;2015092009;PIT@SF;1;3;2015-09-20;00:20
1739497450.3936;0.0024s;1739497450.3961;2015092006;ARI@CHI;1;3;2015-09-20;00:53
1739497450.3936;0.0024s;1739497450.3961;2015092007;DET@MIN;1;3;2015-09-20;00:55
1739497450.3936;0.0024s;1739497450.3961;2015092011;JAC@MIA;1;3;2015-09-20;02:09
1739497450.3936;0.0024s;1739497450.3961;2015092003;CLE@TEN;1;3;2015-09-20;05:48
1739497450.3936;0.0024s;1739497450.3961;2015092010;BAL@OAK;1;3;2015-09-20;06:45
1739497450.3936;0.0024s;1739497450.3961;2015092003;TEN@CLE;1;3;2015-09-20;07:15
1739497450.3936;0.0024s;1739497450.3961;2015092013;GB@SEA;1;3;2015-09-20;08:43
1739497450.3936;0.0024s;1739497450.3961;2015092004;ATL@NYG;1;3;2015-09-20;08:56
1739497450.3936;0.0024s;1739497450.3961;2015092009;PIT@SF;1;3;2015-09-20;09:11
1739497450.3936;0.0024s;1739497450.3961;2015092006;CHI@ARI;1;3;2015-09-20;10:42
1739497450.3936;0.0024s;1739497450.3961;2015092003;CLE@TEN;1;3;2015-09-20;11:21
1739497450.3936;0.0024s;1739497450.3961;2015092007;DET@MIN;1;3;2015-09-20;11:36
1739497450.3936;0.0024s;1739497450.3961;2015092004;ATL@NYG;1;4;2015-09-20;04:38
1739497450.3936;0.0024s;1739497450.3961;2015092012;DAL@PHI;1;4;2015-09-20;05:05
1739497450.3936;0.0024s;1739497450.3961;2015092005;STL@WAS;1;4;2015-09-20;09:38
1739497450.3936;0.0024s;1739497450.3961;2015092011;MIA@JAC;1;4;2015-09-20;09:39
1739497450.3936;0.0024s;1739497450.3961;2015092000;CAR@HOU;1;4;2015-09-20;10:04
1739497450.3936;0.0024s;1739497450.3961;2015092002;SD@CIN;1;4;2015-09-20;11:07
1739497450.3936;0.0024s;1739497450.3961;2015092000;CAR@HOU;1;4;2015-09-20;11:58
1739497450.3936;0.0024s;1739497450.3961;2015092011;JAC@MIA;1;4;2015-09-20;12:16
1739497450.3936;0.0024s;1739497450.3961;2015092007;MIN@DET;1;4;2015-09-20;12:34
1739497450.3936;0.0024s;1739497450.3961;2015092003;CLE@TEN;1;4;2015-09-20;15:00
1739497450.3936;0.0024s;1739497450.3961;2015092400;NYG@WAS;1;4;2015-09-24;01:56
1739497450.3936;0.0024s;1739497450.3961;2015092708;OAK@CLE;1;1;2015-09-27;02:52
1739497450.3936;0.0024s;1739497450.3961;2015092711;CHI@SEA;1;1;2015-09-27;03:18
1739497450.3936;0.0024s;1739497450.3961;2015092712;MIA@BUF;1;1;2015-09-27;03:24
1739497450.3936;0.0024s;1739497450.3961;2015092708;CLE@OAK;1;1;2015-09-27;05:52
1739497450.3936;0.0024s;1739497450.3961;2015092711;CHI@SEA;1;1;2015-09-27;07:03
1739497450.3936;0.0024s;1739497450.3961;2015092703;TB@HOU;1;1;2015-09-27;09:03
1739497450.3936;0.0024s;1739497450.3961;2015092709;IND@TEN;1;1;2015-09-27;11:00
1739497450.3936;0.0024s;1739497450.3961;2015092704;SD@MIN;1;1;2015-09-27;11:00
1739497450.3936;0.0024s;1739497450.3961;2015092707;BAL@CIN;1;1;2015-09-27;12:49
1739497450.3936;0.0024s;1739497450.3961;2015092713;DET@DEN;1;1;2015-09-27;12:54
1739497450.3936;0.0024s;1739497450.3961;2015092711;CHI@SEA;1;1;2015-09-27;13:39
1739497450.3936;0.0024s;1739497450.3961;2015092706;JAC@NE;1;1;2015-09-27;14:04
1739497450.3936;0.0024s;1739497450.3961;2015092712;MIA@BUF;1;1;2015-09-27;14:18
1739497450.3936;0.0024s;1739497450.3961;2015092705;STL@PIT;0;2;2015-09-27;08:20
1739497450.3936;0.0024s;1739497450.3961;2015092707;BAL@CIN;1;2;2015-09-27;00:41
1739497450.3936;0.0024s;1739497450.3961;2015092710;ARI@SF;1;2;2015-09-27;03:21
1739497450.3936;0.0024s;1739497450.3961;2015092700;ATL@DAL;1;2;2015-09-27;06:15
1739497450.3936;0.0024s;1739497450.3961;2015092702;NYJ@PHI;1;2;2015-09-27;08:24
1739497450.3936;0.0024s;1739497450.3961;2015092702;PHI@NYJ;1;2;2015-09-27;10:03
1739497450.3936;0.0024s;1739497450.3961;2015092710;SF@ARI;1;2;2015-09-27;12:03
1739497450.3936;0.0024s;1739497450.3961;2015092708;CLE@OAK;1;2;2015-09-27;12:23
1739497450.3936;0.0024s;1739497450.3961;2015092700;ATL@DAL;1;2;2015-09-27;12:44
1739497450.3936;0.0024s;1739497450.3961;2015092702;PHI@NYJ;1;2;2015-09-27;13:50
1739497450.3936;0.0024s;1739497450.3961;2015092709;IND@TEN;1;3;2015-09-27;02:22
